x,y,sd
2201.6,2368.1,38.5
7404.1,18739.6,32.4
4583.8,3012.5,32.8
1961.1,8076.5,28.2
13487.6,9964.3,27.3
5493.2,5660.4,22.0
2371.0,5344.0,25.5
21477.6,4639.2,18.6
15663.0,13425.7,21.2
7794.1,19203.5,14.1
2650.2,18959.1,22.8
7106.7,12266.8,12.6
4574.7,4813.2,15.0
1142.7,2265.5,23.0
3876.1,23096.5,16.4
8099.7,18337.7,28.1
2629.0,18972.1,25.8
1397.3,7628.4,48.4
5317.8,18679.3,24.4
2233.0,2466.6,46.7
12741.7,14518.0,31.0
8472.7,11270.3,27.2
7563.3,11267.7,28.1
5926.9,3517.4,11.3
5754.1,16580.1,15.6
2061.4,5569.8,42.2
515.8,5459.5,25.5
9314.2,13596.4,15.6
5160.6,713.1,28.9
12464.4,19306.6,17.4
9030.3,11036.0,36.4
2673.8,18955.1,28.4
9920.6,21334.3,30.0
1763.1,5352.4,43.5
7145.3,15768.2,43.5
16271.8,8055.4,47.1
8069.3,10943.8,28.3
21475.2,4570.1,19.9
5683.4,23066.0,27.2
1520.4,8913.7,37.5
23207.7,16119.1,16.7
2659.8,18943.0,12.5
3875.1,6082.7,39.6
5699.1,23094.2,26.0
5157.2,711.4,26.7
5863.9,18268.7,19.6
4724.4,2927.9,35.5
15855.7,10446.0,28.8
3322.6,20038.1,29.4
1684.2,20057.7,29.7
3846.3,13068.6,26.1
2640.2,18932.9,18.6
14068.6,7428.3,25.6
2836.2,4131.1,25.4
2929.6,3126.5,56.1
5734.3,23101.0,23.7
2050.6,6153.6,31.7
3904.1,4098.9,27.2
7130.4,15763.9,27.4
9586.4,11231.4,27.2
2171.2,2466.7,33.7
6782.5,14880.6,30.5
5078.8,703.3,31.2
7926.3,15815.4,24.3
4609.4,2877.1,37.8
1989.8,9523.6,26.1
1292.9,2276.1,38.3
14049.5,7420.7,25.8
10979.5,15514.5,36.2
2816.5,3886.3,20.5
14726.1,19161.4,28.8
2450.9,2547.2,22.6
2093.4,2930.4,29.4
11077.2,12094.0,22.7
7073.6,18607.9,25.4
3129.5,7366.6,19.2
8380.1,12960.3,23.8
2755.4,4167.5,28.4
15145.4,24778.9,22.1
5201.4,533.2,30.9
4730.2,2764.4,28.1
7137.1,15785.3,19.7
4847.7,22430.0,29.6
13118.2,14853.8,21.0
11665.7,13065.7,15.8
5136.0,23494.5,17.7
2782.2,3880.2,50.3
15151.1,24767.5,27.1
719.4,3895.7,34.8
2209.7,2370.7,23.0
5695.6,23144.1,22.4
5160.5,601.8,21.4
3172.7,3009.6,34.9
19337.4,16565.2,20.0
3264.6,5190.9,19.2
937.9,8154.1,31.4
2481.5,4310.1,22.4
782.9,6523.5,39.9
2079.0,5956.6,24.9
9568.3,21226.3,17.5
5139.0,556.2,37.3
4135.3,19427.7,28.2
743.7,4973.7,27.7
18895.6,14059.5,21.3
4328.3,13742.0,39.0
3948.4,5559.6,32.6
5353.2,570.7,63.1
6583.0,19670.3,30.4
11951.3,14669.5,28.4
831.3,4980.9,22.8
2273.9,5928.6,33.1
4410.3,3298.6,39.8
15414.9,10587.4,22.1
18551.1,17263.6,36.4
2828.8,3566.9,27.1
3928.1,18042.9,25.1
5133.1,20185.1,20.2
4959.2,15547.0,23.1
2888.5,3183.4,35.6
9676.1,10006.2,25.3
2150.1,2391.3,65.2
4118.2,19374.0,17.6
3526.1,17723.5,25.6
15364.7,10594.1,18.8
7274.0,15961.4,25.9
3858.2,23098.1,24.8
10319.6,11012.6,16.0
5104.1,529.7,27.2
3509.8,15833.1,24.6
6215.4,835.3,26.0
4154.5,4034.5,30.7
15227.1,6530.5,29.9
11130.9,21056.6,27.5
19495.1,14794.1,16.7
7195.5,12137.3,22.1
13617.5,7703.2,40.3
3794.7,17775.2,21.4
2172.3,6270.9,21.2
13109.1,14358.3,29.0
6226.6,22762.0,27.4
14739.6,19135.7,19.4
2805.8,3539.9,24.5
11151.1,21042.7,19.5
4389.2,15655.6,15.9
8183.8,18791.3,21.3
3955.0,11151.4,33.1
7730.2,14082.5,33.5
9195.3,14426.9,29.0
24088.3,13092.8,16.3
15734.6,16338.2,20.8
6172.7,22767.1,28.0
4373.8,3244.0,29.9
2540.8,5336.0,20.3
2483.4,4316.5,33.1
2819.1,3567.5,30.3
771.1,4881.8,28.9
14141.4,7380.8,25.4
1696.5,8287.6,31.4
11072.4,10353.7,23.3
776.1,2380.9,38.4
3652.8,17625.3,30.1
2499.6,4318.7,29.1
14755.2,15439.7,31.3
818.2,4286.6,26.0
6488.9,13059.2,27.2
14119.5,7449.8,19.6
8152.8,24198.2,28.4
8442.9,12401.9,36.7
1784.2,1972.7,47.7
4810.7,2836.7,17.9
3096.0,7090.1,23.9
2738.0,9142.5,15.4
3967.5,1263.6,34.4
14056.3,7385.0,26.3
504.9,5450.8,26.4
8503.2,12372.8,25.1
2392.9,4374.9,36.2
3009.6,804.1,30.2
10430.5,15953.1,34.8
7189.2,16262.2,21.8
1279.4,4707.6,31.6
2718.5,9074.5,28.7
7206.9,12150.7,34.5
2819.9,3606.2,20.4
17012.5,11708.5,27.4
2380.7,4315.7,33.8
8149.7,16288.9,36.2
7806.7,14540.9,29.5
3739.2,1334.9,23.8
9036.6,10131.7,21.9
3002.3,15813.0,22.6
14161.8,7455.9,27.6
4849.7,2795.4,23.4
4374.0,16528.2,29.7
2796.0,3613.5,25.5
7048.4,16004.3,25.9
16998.8,11697.9,14.0
7110.3,18619.5,20.0
7815.1,14539.2,30.6
2550.2,5542.2,27.6
3148.5,3250.2,43.1
3147.1,18736.7,32.8
9727.8,14092.1,29.2
8983.7,11066.2,27.4
4023.0,14788.0,22.0
8475.4,12356.8,23.1
827.1,2423.0,22.9
2965.8,15830.0,29.5
10948.1,13420.5,36.1
4134.7,19381.5,16.9
7664.9,11262.9,61.2
1330.5,5028.0,41.6
9030.4,10172.8,23.6
2492.1,18205.8,34.9
3053.4,15805.6,28.7
3054.3,5504.8,33.9
4516.6,4692.6,30.8
1712.7,15267.0,22.5
2733.8,6575.9,28.7
5141.7,1985.2,21.1
3660.6,2028.1,30.1
3267.4,1180.4,28.8
2250.9,4400.8,28.7
9196.0,14266.8,27.0
11982.8,17143.7,24.3
13121.1,14882.2,27.5
9410.8,10443.7,24.0
23219.2,16136.7,19.5
3085.3,6990.6,31.6
768.6,2403.3,20.2
1746.6,3478.1,30.4
892.7,10110.0,32.4
11474.2,16902.4,33.5
6986.4,15932.6,42.3
5520.6,568.6,36.2
11376.2,18392.9,16.4
2820.2,5799.2,27.3
10369.5,17128.7,24.3
2354.4,3921.2,22.4
5052.5,746.1,20.4
5203.8,588.7,47.4
4375.8,16488.2,20.6
8354.1,23427.1,19.2
1378.8,5651.6,26.1
13142.7,14841.8,24.3
987.6,10103.7,22.8
1726.1,3542.5,39.9
946.3,5870.2,32.5
3351.0,16319.0,15.4
13152.5,14852.9,32.3
1611.5,2428.6,27.6
2495.8,18217.4,21.2
2451.8,4287.7,34.4
8456.3,16178.9,23.1
8781.0,12448.0,31.3
3285.2,2938.3,30.4
6860.1,14037.0,22.4
5511.7,24991.0,28.7
9190.6,14226.2,18.6
633.1,9237.0,31.5
15364.7,10564.4,26.1
1937.4,6054.7,26.9
3500.3,3213.3,23.3
2198.6,3943.2,39.0
2896.5,20828.7,23.8
968.1,10092.4,25.1
15808.5,8030.9,25.7
9222.8,14324.1,25.9
13721.3,16864.3,18.3
4524.1,4666.6,30.2
8620.4,12469.9,60.7
11113.1,21075.2,23.1
1595.8,3906.9,29.9
579.2,4009.6,27.3
9847.4,11129.1,18.7
8647.6,24128.3,20.4
2139.7,2838.3,32.4
7134.0,20689.3,30.4
6956.5,18691.9,22.7
6235.1,14783.2,20.7
4016.7,22140.2,22.4
4961.8,18026.6,26.4
6135.0,19419.3,32.8
1036.8,4050.0,38.2
5295.3,18712.8,26.6
8771.7,13098.3,40.7
13624.3,9631.3,22.8
5533.7,24987.3,25.1
17573.0,2940.4,24.8
11361.5,15183.2,29.0
8534.1,12461.8,29.8
24473.5,12589.1,18.2
928.7,10091.1,21.9
1164.5,2287.7,16.2
9031.1,10148.5,25.6
7790.6,14575.7,23.9
2880.9,15130.8,18.3
2173.9,2823.0,35.2
6071.1,18574.9,34.1
807.5,4024.0,36.0
7251.5,15963.4,30.6
3227.6,6401.1,36.7
781.1,3804.4,28.4
15832.1,8025.1,10.7
2009.1,3860.4,18.0
3587.3,2583.2,31.9
614.2,7259.7,30.3
9162.5,14253.7,24.9
8846.2,24518.6,26.1
1211.0,2346.8,32.6
8358.8,23442.0,21.1
4572.5,4696.6,14.1
6083.6,18639.1,28.1
2896.9,20870.4,20.4
9672.2,15062.0,27.5
4353.1,16536.0,31.4
9166.6,14249.2,27.2
6911.3,13997.2,27.0
2368.5,3157.7,21.7
3518.5,15810.1,17.9
4585.0,4695.3,29.3
4169.3,14824.3,18.1
5516.6,524.2,25.4
14116.8,7470.6,21.8
4152.8,21886.4,36.2
3969.1,16501.4,24.6
7327.9,15683.6,27.6
9643.1,14998.9,31.5
2924.7,20863.2,28.8
1332.8,3657.4,35.2
6897.7,13984.3,22.0
7285.7,12750.2,26.7
1125.3,5372.3,28.7
5221.4,3976.0,16.7
2379.2,6151.2,36.2
17718.5,6333.2,25.8
7698.3,16794.0,29.2
22653.0,11239.6,20.4
2259.9,2638.9,20.9
3406.6,6566.5,22.5
14085.2,7442.1,17.3
4038.3,16523.6,29.2
7910.9,15792.7,36.4
1428.4,5007.2,30.3
3285.4,6428.3,36.5
5835.1,1742.3,26.3
16250.7,5846.0,24.1
438.2,4044.1,22.5
3151.7,1502.2,27.5
16497.1,10125.1,22.7
2038.4,6211.9,49.2
15851.9,8031.6,19.2
1406.1,5021.7,24.9
15177.2,18527.8,25.5
14965.6,7923.5,23.7
2317.5,4925.4,32.0
15838.7,8019.9,29.2
15147.9,12060.6,26.3
2647.1,19144.6,37.2
1191.2,5389.5,43.8
2699.4,9036.6,22.3
2129.8,6162.3,32.8
15138.1,6205.3,20.8
9155.2,14268.9,27.4
3552.3,5144.1,28.5
5239.5,10527.8,19.9
3370.0,3219.6,22.6
