x,y,sd
686.84764432952295,1237.0609093868459,16.2
689.36410518427556,1197.8223132757896,20.6
686.06436972565905,1246.6674946748108,26.1
707.58228356043639,1188.8669809729458,24.9
643.08932030131848,1242.4077849457879,25.1
661.86838930465728,1242.8511441318915,23.4
624.89891476568607,1291.0340036600714,16.8
650.59060352582242,1270.224699763681,13.8
648.39594536674542,1281.9615424210911,20.4
676.62341521852136,1277.595772641652,18.4
591.04824971696098,2574.8102117570115,19.8
682.31060870016267,1204.3589934231286,27.5
658.80975430221565,1244.3359848377747,20.9
690.77951378883859,1225.9258116075277,24.0
680.94692197976747,1236.8129663467721,20.9
676.44067797794935,1216.7684218272254,25.0
315.76707444797421,1783.8131482084011,24.4
302.7611337299378,1779.233245803445,22.1
644.58281486330918,1191.2157985221968,24.7
626.60553569085357,1240.7389994845294,29.1
662.1499415068173,1260.8336558685041,17.7
670.06701232935745,1191.9612376621519,19.7
600.93517969228151,1232.9696479731979,27.0
625.48878574819389,1259.7338111331221,30.8
689.2151783582583,1222.0164824245853,24.1
653.91469053301114,1265.1650114759875,20.8
683.26052034718725,1234.0223996311624,16.6
656.50219350882412,1242.7883533620015,18.4
629.23208164537425,1253.2478466076161,22.4
642.61355946793583,1256.3115129217479,23.7
629.3063438059155,1254.5457237711078,20.5
651.19858723041011,1275.59874440575,24.1
634.49362615806069,1212.5654652940675,24.1
662.21494605384976,1232.3449603137969,32.0
664.54786465815516,1235.5476920830317,25.9
655.71207632106416,1260.6241520497429,22.9
648.1123806399105,1248.8621528338826,27.5
651.88002808567148,1236.472849676544,16.9
655.59937493921382,1258.7891320502517,18.0
570.26551114629365,2569.7815163493292,22.2
572.59702098333037,2641.9045644122016,25.1
540.69689485049389,2597.0304967036786,19.3
592.9686007627115,2609.4493839737524,19.4
615.43260244763053,2612.2168066555887,28.4
126.8900235945479,446.53437410746176,19.8
143.58914834533695,425.97764205789707,22.8
188.57430741597116,403.69456634134008,31.6
157.94106556661961,434.01707438073413,18.8
142.44321679487859,474.22188358869249,28.7
